,first_y_test,second_y_test,predicted_labels
0,1,1,1
1,3,4,4
2,3,4,3
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,2,3,3
22,1,1,1
23,1,1,1
24,3,4,3
25,1,1,1
26,2,3,2
27,1,1,1
28,2,3,1
29,1,1,1
30,1,1,1
31,1,1,1
32,2,3,2
33,1,1,1
34,1,1,1
35,1,1,1
36,3,4,3
37,1,1,1
38,1,1,1
39,3,4,3
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,3,4,3
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,2,3,2
54,1,1,1
55,1,1,1
56,2,3,2
57,1,1,1
58,2,3,2
59,1,1,1
60,1,1,1
61,2,3,2
62,1,1,1
63,1,1,1
64,3,4,4
65,2,3,2
66,2,3,2
67,2,3,1
68,1,1,1
69,1,1,1
70,2,3,1
71,1,1,1
72,1,1,1
73,1,1,1
74,1,1,1
75,1,1,1
76,1,1,1
77,1,1,1
78,1,1,1
79,2,3,2
80,1,1,1
81,1,1,1
82,2,3,2
83,3,4,3
84,1,1,1
85,2,3,2
86,1,1,1
87,1,1,1
88,1,1,1
89,1,1,1
90,3,4,3
91,2,3,2
92,1,1,1
93,1,1,1
94,1,1,1
95,1,1,1
96,1,1,1
97,1,1,1
98,3,4,3
99,1,1,1
100,1,1,1
101,3,4,3
102,1,1,1
103,1,1,1
104,1,1,1
105,1,1,1
106,1,1,1
107,1,1,1
108,1,1,1
109,1,1,1
110,3,4,3
111,1,1,1
112,1,1,1
113,1,1,1
114,1,1,1
115,1,1,1
116,2,3,2
117,1,1,1
118,1,1,1
119,1,1,1
120,2,3,2
121,1,1,1
122,1,1,1
123,2,3,2
124,1,1,1
125,2,3,2
126,2,3,2
127,1,1,1
128,1,1,1
129,1,1,1
130,1,1,1
131,1,1,1
132,1,1,1
133,1,1,1
134,1,1,1
135,1,1,1
136,2,3,2
137,1,2,2
138,1,1,1
139,1,1,1
140,1,1,1
141,1,1,1
142,2,3,2
143,1,1,1
144,1,1,1
145,1,1,1
146,1,1,1
147,1,1,1
148,1,1,1
149,1,1,1
150,1,1,1
151,1,1,1
152,2,3,3
153,1,1,1
154,1,1,1
155,1,1,1
156,2,3,2
157,3,4,4
158,2,3,3
159,1,1,1
160,2,3,3
161,2,3,2
162,1,1,1
163,1,1,1
164,1,1,1
165,1,1,1
166,1,1,1
167,2,3,1
168,1,1,1
169,1,1,1
170,2,3,2
171,2,3,3
172,1,1,1
173,4,4,3
174,1,1,1
175,1,1,1
176,2,3,2
177,2,3,3
178,2,3,2
179,1,1,1
180,2,3,1
181,1,1,1
182,3,4,4
183,2,3,3
184,3,4,3
185,1,1,1
186,1,1,1
187,2,3,2
188,1,1,1
189,1,1,1
190,1,1,2
191,2,3,2
192,1,1,1
193,1,1,1
194,1,1,1
195,1,1,1
196,2,3,2
197,1,1,1
198,1,1,1
199,1,1,1
200,1,1,1
201,1,1,1
202,0,1,1
203,2,3,2
204,1,1,1
205,1,1,1
206,1,1,1
207,1,1,1
208,1,1,1
209,2,3,2
210,1,1,2
211,1,1,1
212,2,3,2
213,1,1,1
214,1,1,1
215,1,1,1
216,1,1,1
217,1,1,1
218,1,1,1
219,1,1,1
220,1,1,1
221,2,3,2
222,1,1,1
223,1,1,1
224,2,3,1
225,2,3,2
226,3,4,3
227,1,1,1
228,1,1,1
229,1,1,1
230,3,4,3
231,1,1,1
232,1,1,1
233,1,1,1
234,1,1,1
235,1,1,1
236,2,3,2
237,1,1,1
238,2,3,2
239,1,1,1
240,1,1,1
241,1,1,1
242,1,1,1
243,1,1,1
244,1,1,1
245,1,1,1
246,2,3,3
247,4,4,3
248,1,1,1
249,1,1,1
250,1,1,1
251,1,1,1
252,2,3,2
253,2,3,2
254,2,3,2
255,1,1,1
256,1,1,1
257,1,1,1
258,1,1,1
259,2,3,2
260,2,3,2
261,2,3,2
262,1,1,1
263,2,3,2
264,1,1,1
265,2,3,2
266,1,1,1
267,1,1,1
268,1,1,1
269,2,3,2
270,1,1,1
271,1,1,1
272,1,1,1
273,1,1,1
274,1,1,1
275,1,1,1
276,1,1,1
277,2,3,2
278,2,3,2
279,2,3,3
280,1,1,1
281,1,1,1
282,2,3,3
283,1,1,1
284,1,1,1
285,1,1,1
286,3,4,3
287,1,1,1
288,1,1,1
289,1,1,1
290,1,1,1
291,2,3,2
292,2,3,2
293,1,1,1
294,1,1,1
295,1,1,1
296,2,3,2
297,1,1,1
298,1,1,1
299,1,1,1
300,3,4,3
301,1,1,1
302,1,1,1
303,2,3,2
304,1,1,1
305,1,1,1
306,1,1,1
307,1,1,1
308,1,1,1
309,1,1,1
310,2,3,2
311,1,1,1
312,1,1,1
313,2,3,2
314,1,1,1
315,1,1,1
316,1,1,1
317,2,3,2
318,2,3,2
319,1,1,1
320,1,1,1
321,2,3,2
322,2,3,2
323,1,1,1
324,1,1,1
325,1,1,1
326,1,1,1
327,1,1,1
328,1,1,1
329,2,3,2
330,1,1,1
331,2,3,2
332,1,1,1
333,1,1,1
334,1,1,1
335,1,1,1
336,2,3,2
337,3,4,3
338,2,3,3
339,1,1,1
340,1,1,1
341,1,1,1
342,1,1,1
343,1,1,1
344,1,1,1
345,1,1,1
346,1,1,1
347,1,1,1
348,1,1,1
349,1,1,1
350,1,1,1
351,1,1,1
352,1,1,1
353,1,1,1
354,1,1,1
355,1,1,1
356,1,1,1
357,1,1,1
358,1,1,1
359,1,1,1
360,1,1,1
361,1,1,1
362,2,3,2
363,3,4,3
364,1,1,1
365,1,1,1
366,1,1,1
367,1,1,1
368,1,1,1
369,3,4,3
