,first_y_test,second_y_test,predicted_labels
0,1.0,1.0,1
1,3.0,4.0,4
2,3.0,4.0,3
3,1.0,1.0,1
4,1.0,1.0,1
5,1.0,1.0,4
6,1.0,1.0,1
7,1.0,1.0,1
8,1.0,1.0,4
9,1.0,1.0,3
10,1.0,1.0,1
11,1.0,1.0,1
12,1.0,1.0,1
13,1.0,1.0,0
14,1.0,1.0,1
15,1.0,1.0,1
16,1.0,1.0,0
17,1.0,1.0,1
18,1.0,1.0,0
19,1.0,1.0,0
20,1.0,1.0,0
21,2.0,3.0,3
22,1.0,1.0,1
23,1.0,1.0,0
24,3.0,4.0,3
25,1.0,1.0,0
26,2.0,3.0,2
27,1.0,1.0,1
28,2.0,3.0,1
29,1.0,1.0,1
30,1.0,1.0,1
31,1.0,1.0,0
32,2.0,3.0,2
33,1.0,1.0,0
34,1.0,1.0,1
35,1.0,1.0,1
36,3.0,4.0,3
37,1.0,1.0,0
38,1.0,1.0,0
39,3.0,4.0,4
40,1.0,1.0,3
41,1.0,1.0,1
42,1.0,1.0,0
43,1.0,1.0,1
44,1.0,1.0,1
45,3.0,4.0,4
46,1.0,1.0,1
47,1.0,1.0,2
48,1.0,1.0,1
49,1.0,1.0,0
50,1.0,1.0,1
51,1.0,1.0,1
52,1.0,1.0,1
53,2.0,3.0,4
54,1.0,1.0,1
55,1.0,1.0,1
56,2.0,3.0,2
57,1.0,1.0,0
58,2.0,3.0,1
59,1.0,1.0,1
60,1.0,1.0,1
61,2.0,3.0,1
62,1.0,1.0,1
63,1.0,1.0,1
64,3.0,4.0,4
65,2.0,3.0,2
66,2.0,3.0,1
67,2.0,3.0,2
68,1.0,1.0,1
69,1.0,1.0,0
70,2.0,3.0,4
71,1.0,1.0,0
72,1.0,1.0,0
73,1.0,1.0,1
74,1.0,1.0,1
75,1.0,1.0,1
76,1.0,1.0,0
77,1.0,1.0,0
78,1.0,1.0,1
79,2.0,3.0,4
80,1.0,1.0,1
81,1.0,1.0,2
82,2.0,3.0,1
83,3.0,4.0,3
84,1.0,1.0,2
85,2.0,3.0,2
86,1.0,1.0,1
87,1.0,1.0,1
88,1.0,1.0,1
89,1.0,1.0,1
90,3.0,4.0,4
91,2.0,3.0,2
92,1.0,1.0,1
93,1.0,1.0,0
94,1.0,1.0,1
95,1.0,1.0,0
96,1.0,1.0,1
97,1.0,1.0,0
98,3.0,4.0,4
99,1.0,1.0,1
100,1.0,1.0,1
101,3.0,4.0,4
102,1.0,1.0,1
103,1.0,1.0,0
104,1.0,1.0,1
105,1.0,1.0,0
106,1.0,1.0,1
107,1.0,1.0,1
108,1.0,1.0,1
109,1.0,1.0,0
110,3.0,4.0,3
111,1.0,1.0,1
112,1.0,1.0,1
113,1.0,1.0,2
114,1.0,1.0,1
115,1.0,1.0,1
116,2.0,3.0,2
117,1.0,1.0,1
118,1.0,1.0,1
119,1.0,1.0,1
120,2.0,3.0,1
121,1.0,1.0,0
122,1.0,1.0,1
123,2.0,3.0,1
124,1.0,1.0,0
125,2.0,3.0,2
126,2.0,3.0,1
127,1.0,1.0,1
128,1.0,1.0,1
129,1.0,1.0,1
130,1.0,1.0,1
131,1.0,1.0,1
132,1.0,1.0,1
133,1.0,1.0,1
134,1.0,1.0,1
135,1.0,1.0,2
136,2.0,3.0,4
137,1.0,2.0,4
138,1.0,1.0,1
139,1.0,1.0,0
140,1.0,1.0,0
141,1.0,1.0,1
142,2.0,3.0,4
143,1.0,1.0,1
144,1.0,1.0,1
145,1.0,1.0,1
146,1.0,1.0,1
147,1.0,1.0,0
148,1.0,1.0,1
149,1.0,1.0,1
150,1.0,1.0,0
151,1.0,1.0,0
152,2.0,3.0,3
153,1.0,1.0,1
154,1.0,1.0,0
155,1.0,1.0,1
156,2.0,3.0,1
157,3.0,4.0,4
158,2.0,3.0,3
159,1.0,1.0,1
160,2.0,3.0,3
161,2.0,3.0,3
162,1.0,1.0,1
163,1.0,1.0,1
164,1.0,1.0,1
165,1.0,1.0,1
166,1.0,1.0,1
167,2.0,3.0,1
168,1.0,1.0,1
169,1.0,1.0,0
170,2.0,3.0,2
171,2.0,3.0,4
172,1.0,1.0,1
173,4.0,4.0,3
174,1.0,1.0,0
175,1.0,1.0,1
176,2.0,3.0,1
177,2.0,3.0,3
178,2.0,3.0,4
179,1.0,1.0,1
180,2.0,3.0,1
181,1.0,1.0,4
182,3.0,4.0,4
183,2.0,3.0,4
184,3.0,4.0,4
185,1.0,1.0,1
186,1.0,1.0,1
187,2.0,3.0,1
188,1.0,1.0,1
189,1.0,1.0,1
190,1.0,1.0,4
191,2.0,3.0,1
192,1.0,1.0,0
193,1.0,1.0,4
194,1.0,1.0,0
195,1.0,1.0,0
196,2.0,3.0,2
197,1.0,1.0,2
198,1.0,1.0,1
199,1.0,1.0,0
200,1.0,1.0,0
201,1.0,1.0,0
202,0.0,1.0,3
203,2.0,3.0,1
204,1.0,1.0,1
205,1.0,1.0,1
206,1.0,1.0,1
207,1.0,1.0,1
208,1.0,1.0,4
209,2.0,3.0,1
210,1.0,1.0,4
211,1.0,1.0,1
212,2.0,3.0,4
